iTOW,clkB,clkD,tAcc,fAcc
94599500,657898,210,2,201
94599600,657919,211,2,213
94599700,657940,209,2,228
94599800,657961,208,2,256
94599900,657981,206,2,252
94600000,658002,206,2,243
94600100,658023,209,2,245
94600200,658044,210,2,262
94600300,658065,209,2,249
94600400,658086,208,2,240
94600500,658107,208,2,227
94600600,658127,209,2,231
94600700,658148,210,2,254
94600800,658169,210,2,257
94600900,658190,209,2,263
94601000,658211,207,2,278
94601100,658232,208,2,273
94601200,658253,210,2,284
94601300,658274,210,2,278
94601400,658295,209,2,259
94601500,658316,209,2,258
94601600,658337,209,2,232
94601700,658358,209,2,223
94601800,658379,210,2,230
94601900,658399,210,2,240
94602000,658420,209,2,239
94602100,658441,208,2,247
94602200,658462,209,2,262
94602300,658483,210,2,270
94602400,658504,211,2,277
94602500,658525,211,2,258
94602600,658546,211,2,246
94602700,658567,208,2,230
94602800,658588,208,2,230
94602900,658609,210,2,241
94603000,658630,210,2,249
94603100,658651,209,2,269
94603200,658672,208,2,275
94603300,658693,207,2,275
94603400,658713,209,2,282
94603500,658735,214,2,278
94603600,658756,215,2,285
94603700,658777,209,2,282
94603800,658798,205,2,243
94603900,658819,208,2,222
94604000,658840,211,2,249
94604100,658861,210,2,244
94604200,658882,209,2,248
94604300,658902,206,2,241
94604400,658923,207,2,245
94604500,658944,210,2,253
94604600,658965,214,2,245
94604700,658987,215,2,236
94604800,659008,210,2,228
94604900,659029,205,2,218
94605000,659049,206,2,220
94605100,659070,211,2,230
94606000,659259,210,2,264
94606100,659280,208,2,245
94606200,659301,208,2,268
94606300,659322,210,2,274
94606900,659448,212,2,285
94607000,659469,209,2,280
94607100,659490,209,2,267
94607200,659510,208,2,251
94607300,659531,208,2,269
94608000,659678,214,2,271
94608100,659700,212,2,273
94608200,659721,206,2,250
94608300,659741,205,2,245
94608400,659762,209,2,258
94609100,659909,212,2,282
94609200,659930,210,2,252
94609300,659951,208,2,250
94609400,659972,211,2,245
94609500,659993,208,2,225
94610200,660140,211,2,313
94610300,660161,213,2,293
94610400,660183,209,2,294
94610500,660203,207,2,262
94611600,660434,210,2,252
94612300,660582,213,2,268
94612400,660603,209,2,270
94612500,660624,211,2,279
94612600,660645,210,2,280
94612700,660667,215,2,262
94613400,660814,212,2,279
94613500,660835,209,2,271
94613600,660856,207,2,271
94613700,660877,208,2,265
94613800,660898,214,2,270
94614600,661066,208,2,245
94614700,661086,206,2,240
94614800,661107,207,2,221
94614900,661128,211,2,216
94615700,661296,207,2,272
94615800,661317,208,2,292
94615900,661338,209,2,289
94616000,661359,211,2,273
94616100,661380,209,2,262
94616900,661548,210,2,270
94617000,661569,211,2,268
94617100,661590,211,2,282
94617200,661611,210,2,271
94617300,661633,210,2,240
94618100,661801,208,2,263
94618200,661822,210,2,251
94618300,661843,210,2,269
94618400,661864,208,2,230
94619100,662011,209,2,198
94619200,662033,210,2,190
94619300,662054,210,2,182
94619400,662075,210,2,197
94619500,662096,210,2,199
94619700,662139,211,2,181
94619800,662160,210,2,186
94619900,662181,211,2,181
94620000,662203,212,2,194
94620200,662245,212,2,191
94620300,662267,213,2,206
94620400,662288,209,2,195
94620500,662309,207,2,184
94620600,662330,209,2,201
94620700,662351,212,2,198
94620800,662372,212,2,193
94620900,662393,212,2,212
94621000,662415,209,2,189
94621100,662435,205,2,194
94621200,662456,210,2,203
94621300,662478,211,2,206
94621400,662499,212,2,209
94621500,662520,211,2,206
94621600,662541,207,2,217
94621700,662562,205,2,225
94621800,662583,210,2,243
94621900,662604,214,2,254
94622000,662626,210,2,267
94622100,662647,206,2,239
94622200,662667,206,2,236
94622300,662688,208,2,227
94622400,662709,210,2,220
94622500,662731,210,2,234
94622600,662752,210,2,231
94622700,662773,210,2,240
94622800,662794,207,2,243
94622900,662815,208,2,248
94623000,662836,211,2,265
94623100,662858,215,2,275
94623200,662879,211,2,262
94623300,662900,209,2,273
94623400,662921,206,2,255
94623500,662942,207,2,231
94623600,662963,211,2,240
94623700,662985,214,2,256
94623800,663007,213,2,257
94623900,663028,207,2,281
94624000,663048,205,2,316
94624100,663069,208,2,287
94624200,663090,212,2,296
94624300,663112,216,2,298
94624400,663134,215,2,280
94624500,663155,208,2,313
94624600,663176,204,2,291
94624700,663196,207,2,278
94624800,663217,210,2,252
94624900,663239,211,2,284
94625000,663264,211,7,307
94625100,663285,209,5,332
94625200,663305,207,5,332
94625300,663327,208,4,329
94625400,663348,212,4,310
94625500,663372,215,7,319
94625600,663394,210,5,303
94625700,663413,205,5,307
94625800,663433,207,4,280
94625900,663454,210,4,277
94626000,663475,211,3,289
94626100,663496,209,3,299
94626200,663516,208,3,287
94626300,663537,208,3,293
94626400,663558,210,3,271
94626500,663580,211,3,285
94626600,663601,210,3,278
94626700,663622,210,3,260
94626800,663643,209,3,241
94626900,663665,209,3,232
94627000,663686,210,3,237
94627100,663707,211,3,264
94627200,663729,210,3,274
94627300,663750,210,3,280
94627400,663771,210,3,274
94627500,663792,210,3,279
94627600,663813,211,3,291
94627700,663834,211,3,295
94627800,663856,209,3,245
94627900,663877,208,3,225
94628000,663898,210,3,205
94628100,663919,211,3,234
94628200,663939,211,8,255
94628400,663981,209,6,270
94628500,664003,209,8,249
94628600,664024,210,8,280
94628700,664047,211,9,334
94628800,664061,210,9,351
94628900,664085,209,9,342
94629000,664107,209,9,281
94629100,664127,210,9,271
94629200,664149,210,8,267
94629300,664167,209,9,257
94629400,664189,209,9,276
94629500,664209,209,8,268
94629600,664230,209,9,271
94629700,664254,209,6,254
94629900,664297,210,9,253
94630000,664316,209,9,239
94630200,664361,210,8,221
94630300,664381,210,9,248
94630400,664403,210,9,256
94630500,664425,210,9,249
94630600,664446,210,9,264
94630700,664466,209,9,258
94630800,664485,208,9,247
94630900,664505,209,9,256
94631000,664528,211,9,248
94631100,664550,211,9,243
94631200,664569,210,9,237
94631300,664589,209,9,236
94631400,664611,209,9,212
94631500,664633,210,9,214
94631600,664654,211,9,209
94631700,664673,210,9,217
94631800,664692,210,9,203
94631900,664714,209,9,195
94632000,664735,210,9,202
94632100,664756,210,9,193
94632200,664773,210,9,188
94632300,664797,210,9,192
94632400,664817,210,9,168
94632500,664851,210,9,158
94632600,664858,210,9,146
94632700,664881,210,9,140
94632800,664901,209,9,153
94632900,664920,209,9,162
94633000,664941,210,10,160
94633200,664984,210,9,152
94633300,665007,210,10,131
94633400,665025,209,10,119
94633500,665050,209,10,125
94633600,665069,210,10,129
94633700,665089,210,10,126
94633800,665109,209,10,132
94633900,665132,209,10,125
94634000,665152,210,10,128
94634100,665172,211,10,115
94634200,665192,211,10,129
94634300,665214,210,10,127
94634400,665235,210,10,128
94634500,665256,210,10,121
94634600,665276,210,10,111
94634700,665296,210,10,111
94634800,665318,210,10,104
94634900,665338,210,10,104
94635000,665359,210,10,111
94635100,665383,210,7,126
94635200,665404,209,6,116
94635300,665424,209,5,111
94635400,665444,210,5,106
94635500,665465,210,4,94
94635600,665485,210,4,88
94635700,665506,209,4,87
94635800,665527,209,4,88
94635900,665549,209,4,87
94636000,665571,210,9,92
94636100,665589,210,10,94
94636200,665613,210,10,99
94636300,665632,210,9,99
94636400,665653,209,10,100
94636500,665676,209,10,99
94636600,665697,210,10,100
94636700,665717,210,10,102
94636800,665738,209,10,102
94636900,665756,209,10,105
94637000,665778,209,10,104
94637100,665798,210,10,104
94637200,665820,210,10,104
94637300,665842,210,10,102
94637400,665863,210,10,102
94637500,665884,210,10,101
94637600,665905,209,10,99
94637700,665927,210,10,98
94637800,665948,210,9,99
94637900,665969,210,9,98
94638000,665990,210,9,94
94638100,666009,210,9,95
94638200,666030,210,9,96
94638300,666051,210,9,97
94638400,666073,210,9,96
94638500,666095,210,9,97
94638600,666116,210,9,97
94638700,666137,210,9,97
94638800,666157,210,9,96
94638900,666178,210,9,95
94639000,666200,210,9,95
94639100,666220,210,9,95
94639200,666242,210,9,94
94639300,666263,210,9,93
94639400,666282,210,9,92
94639500,666305,210,9,91
94639600,666324,210,10,91
94639700,666346,210,9,91
94639800,666367,209,9,91
94639900,666388,210,9,91
94640000,666409,210,9,93
94640100,666430,210,9,93
94640200,666450,210,9,95
94640300,666470,209,9,96
94640400,666490,210,9,96
94640500,666512,210,9,97
94640600,666534,210,9,97
94640700,666555,210,9,99
94640800,666576,210,9,99
94640900,666597,210,9,99
94641000,666619,210,9,100
94641100,666639,210,9,100
94641200,666660,210,9,100
94641300,666681,210,9,102
94641400,666701,210,9,103
94641500,666722,211,9,104
94641600,666746,211,9,104
94641700,666764,210,9,103
94641800,666783,210,9,105
94641900,666804,210,9,106
94642000,666823,210,9,104
94642100,666844,210,9,99
94642200,666863,210,10,99
94642300,666885,210,9,104
94642400,666906,210,9,109
94642500,666927,210,9,110
94642600,666948,210,9,111
94642700,666969,210,9,111
94642800,666992,210,9,110
94642900,667013,210,9,110
94643000,667035,210,9,109
94643100,667055,210,9,111
94643200,667076,210,9,112
94643300,667097,209,9,112
94643400,667118,210,9,115
94643500,667140,210,9,118
94643600,667162,210,9,119
94643700,667182,210,9,116
94643800,667203,210,9,115
94643900,667224,210,9,115
94644000,667245,210,9,116
94644100,667266,210,10,114
94644200,667287,210,10,115
94644300,667308,210,10,115
94644400,667329,210,10,114
94644500,667350,210,10,114
94644600,667371,210,9,114
94644700,667392,210,9,114
94644800,667413,210,10,114
94644900,667434,210,9,115
94645000,667455,210,9,114
94645100,667475,210,10,116
94645200,667498,210,9,114
94645300,667519,210,9,114
94645400,667538,210,10,116
94645500,667561,210,9,114
94645600,667582,210,9,115
94645700,667603,210,9,112
94645800,667624,210,9,111
94645900,667645,210,9,111
94646000,667666,210,9,109
94646100,667687,210,9,108
94646200,667708,210,9,108
94646300,667729,210,9,108
94646400,667750,210,9,107
94646500,667771,210,9,108
94646600,667791,210,9,108
94646700,667813,210,9,107
94646800,667833,210,9,107
94646900,667854,210,9,107
94647000,667876,210,9,106
94647100,667897,210,9,106
94647200,667918,210,9,106
94647300,667939,210,9,107
94647400,667960,210,9,106
94647500,667981,210,9,106
94647600,668002,210,9,106
94647700,668022,210,9,105
94647800,668044,210,9,106
94647900,668064,210,9,107
94648000,668085,210,9,107
94648100,668106,211,9,107
94648200,668128,210,9,107
94648300,668149,210,9,108
94648400,668170,210,9,107
94648500,668190,210,9,107
94648600,668211,210,9,108
94648700,668232,210,9,108
94648800,668253,210,9,109
94648900,668274,210,9,109
94649000,668295,211,9,111
94649100,668316,211,9,110
94649200,668337,211,9,112
94649300,668358,211,9,112
94649400,668379,211,9,110
94649500,668400,211,9,109
94649600,668421,211,9,108
94649700,668442,211,9,108
94649800,668463,210,9,109
94649900,668485,210,9,106
94650000,668506,211,9,104
94650100,668527,210,9,106
94650200,668548,211,10,106
94650300,668570,211,10,108
94650400,668591,211,10,105
94650500,668611,211,10,104
94650600,668632,210,10,100
94650700,668652,211,9,100
94650800,668673,211,9,99
94650900,668694,211,9,99
94651000,668717,211,9,100
94651100,668735,211,9,101
94651200,668759,211,9,99
94651300,668778,211,9,97
94651400,668799,211,9,99
94651500,668820,211,9,102
94651600,668840,211,9,108
94651700,668859,211,10,130
94651800,668879,211,10,142
94651900,668900,210,10,133
94652000,668924,210,9,133
94652200,668965,211,9,123
94652300,668988,212,9,124
94652400,669007,212,10,128
94652500,669027,211,10,125
94652600,669049,211,10,125
94652700,669074,211,9,136
94652800,669096,211,10,125
94652900,669118,212,9,122
94653000,669139,211,9,139
94653100,669156,210,10,125
94653200,669182,211,9,127
94653300,669203,211,9,134
94653400,669223,211,9,125
94653500,669240,211,9,120
94653600,669261,211,9,128
94653700,669282,211,9,140
94653800,669307,211,9,160
94653900,669326,211,10,167
94654000,669347,210,9,147
94654100,669366,211,9,139
94654200,669389,211,9,137
94654300,669411,212,9,146
94654400,669431,211,9,112
94654500,669449,211,9,108
94654600,669469,212,9,125
94654700,669494,212,9,141
94654800,669515,212,9,175
94654900,669532,212,9,180
94655000,669553,211,9,186
94655200,669597,212,9,180
94655300,669614,213,9,179
94655400,669638,212,9,195
94655500,669664,213,9,183
94655600,669688,213,9,163
94655700,669707,211,9,168
94655800,669732,211,9,143
94655900,669749,212,9,144
94656000,669771,213,9,172
94656200,669812,212,9,201
94656300,669833,211,8,191
94656400,669856,213,9,192
94656500,669876,213,8,189
94656600,669897,213,9,176
94656700,669920,212,8,157
94656800,669941,212,8,149
94656900,669962,212,8,157
94657000,669985,213,9,149
94657100,670006,214,8,170
94657200,670024,214,8,186
94657300,670047,212,8,222
94657400,670069,211,8,231
94657500,670090,211,8,224
94657600,670112,213,6,217
94657700,670133,213,5,192
94657800,670154,212,4,202
94657900,670175,211,4,187
94658000,670196,210,4,186
94658100,670214,211,8,170
94658200,670236,212,8,181
94658300,670257,213,8,171
94658400,670278,212,8,203
94658500,670300,212,8,219
94658600,670320,211,8,202
94658700,670340,210,8,198
94658800,670361,213,8,213
94658900,670381,214,9,214
94659000,670403,212,8,224
94659100,670423,213,8,194
94659200,670447,211,8,199
94659300,670469,210,9,199
94659400,670488,213,8,181
94659500,670510,213,8,187
94659600,670530,212,8,229
94659700,670550,211,8,238
94659800,670575,210,8,255
94659900,670597,210,8,225
94660000,670617,211,9,236
94660100,670636,213,8,221
94660200,670655,212,8,226
94660300,670676,210,8,208
94660400,670698,211,8,209
94660500,670718,212,8,188
94660600,670739,213,8,199
94660700,670764,215,8,206
94660800,670785,215,8,217
94660900,670805,211,8,222
94661000,670823,212,8,229
94661100,670845,213,8,218
94661200,670867,212,8,222
94661300,670888,215,8,222
94661400,670908,218,8,221
94661500,670931,212,9,241
94661600,670949,207,8,241
94661700,670971,210,8,228
94661800,670993,214,8,215
94661900,671014,214,8,213
94662000,671036,215,8,216
94662100,671056,215,8,222
94662200,671082,214,8,240
94662300,671104,210,6,235
94662400,671124,208,5,258
94662500,671146,211,5,271
94662600,671167,213,4,237
94662700,671188,212,4,238
94662800,671209,209,4,226
94662900,671230,210,8,212
94663000,671252,211,8,202
94663100,671273,211,8,214
94663200,671294,214,8,231
94663300,671313,214,8,272
94663400,671334,210,8,259
94663500,671355,208,8,254
94663600,671376,210,8,246
94663700,671396,212,8,232
94663800,671416,212,8,218
94663900,671440,213,6,210
94664000,671459,211,8,196
94664100,671482,209,8,187
94664200,671503,210,8,183
94664300,671528,212,8,202
94664400,671546,211,8,223
94664500,671567,211,8,242
94664600,671586,210,8,241
94664700,671609,209,8,237
94664800,671629,212,8,247
94664900,671649,212,5,225
94665000,671669,210,8,224
94665100,671691,210,7,227
94665200,671712,210,8,223
94665300,671736,211,8,208
94665400,671757,212,8,219
94665500,671778,211,8,237
94665600,671801,210,8,258
94665700,671822,210,6,263
94665800,671843,210,8,272
94665900,671864,211,8,258
94666000,671889,212,8,258
94666100,671910,211,8,248
94666200,671930,210,5,226
94666300,671951,210,7,222
94666400,671973,211,7,219
94666500,671994,212,7,224
94666600,672017,211,8,252
94666700,672037,211,5,268
94666800,672059,210,7,264
94666900,672080,209,7,242
94667000,672101,212,7,211
94667100,672123,212,7,252
94667200,672143,211,5,215
94667300,672164,210,4,201
94667400,672185,210,4,208
94667500,672206,211,4,213
94667600,672227,211,3,177
94667700,672248,210,3,161
94667800,672269,211,3,182
94667900,672291,211,3,209
94668000,672312,210,3,191
94668100,672334,210,3,238
94668200,672355,210,3,227
94668300,672376,211,3,246
94668400,672398,211,3,232
94668500,672419,211,3,224
94668600,672440,211,3,198
94668700,672462,211,3,191
94668800,672483,210,3,190
94668900,672504,211,3,177
94669000,672525,211,3,167
94669100,672547,211,3,202
94669200,672568,211,3,220
94669300,672589,210,2,214
94669400,672610,210,2,227
94669500,672631,211,2,202
94669600,672653,212,2,177
94669700,672674,211,3,172
94669800,672695,210,2,146
94669900,672716,210,2,138
94670000,672738,210,2,141
94670100,672759,211,2,131
94670200,672780,211,2,132
94670300,672801,211,2,129
94670400,672823,211,2,145
94670500,672844,211,2,155
94670600,672865,211,2,159
94670700,672886,212,2,173
94670800,672907,213,2,180
94670900,672928,211,2,168
94671000,672950,211,2,134
94671100,672971,211,2,112
94671200,672992,211,2,115
94671300,673013,211,2,118
94671400,673034,211,2,119
94671500,673055,211,2,116
94671600,673076,210,2,117
94671700,673097,210,2,126
94671800,673118,210,2,118
94671900,673139,211,2,118
94672000,673160,212,2,127
94672100,673181,212,2,116
94672200,673202,211,2,112
94672300,673223,211,2,111
94672400,673245,211,2,112
94672500,673266,211,2,110
94672600,673287,211,2,108
94672700,673308,211,2,107
94672800,673330,210,2,108
94672900,673351,210,2,119
94673000,673372,211,2,106
94673100,673393,212,2,110
94673200,673414,213,2,121
94673300,673435,212,2,119
94673400,673457,211,2,120
94673500,673478,212,2,130
94673600,673499,212,2,118
94673700,673520,211,2,105
94673800,673541,212,2,105
94673900,673562,212,2,106
94674000,673584,212,2,112
94674100,673605,212,2,126
94674200,673626,212,2,137
94674300,673647,212,2,171
94674400,673668,211,2,177
94674500,673690,211,2,177
94674600,673711,213,2,183
94674700,673732,212,2,195
94674800,673753,212,2,208
94674900,673775,211,2,200
94675100,673817,212,2,197
94675200,673838,213,2,209
94675300,673859,213,2,214
94675400,673881,212,2,222
94675500,673902,212,2,234
94675900,673986,211,2,226
94676200,674050,210,2,161
94676300,674071,210,2,139
94676400,674092,211,2,127
94676500,674113,211,2,120
94676600,674134,211,2,108
94676700,674156,211,2,113
94676800,674177,211,2,121
94676900,674198,211,2,132
94677000,674219,211,2,151
94677200,674261,211,2,142
94677300,674282,212,2,159
94677400,674303,212,2,158
94677500,674324,210,2,157
94677600,674345,210,2,145
94677700,674366,210,2,127
94677800,674387,211,2,115
94677900,674409,212,2,106
94678000,674430,212,2,117
94678100,674451,211,2,136
94678200,674472,211,2,142
94678300,674493,210,2,142
94678400,674514,210,2,138
94678500,674535,212,2,135
94678600,674557,212,2,130
94678800,674599,213,2,154
94678900,674620,211,2,148
94679000,674641,209,2,151
94679100,674662,209,2,141
94679200,674683,210,2,142
94679400,674726,213,2,134
94679500,674747,214,2,150
94679600,674768,211,2,161
94679700,674789,210,2,179
94679900,674832,213,2,209
94680000,674853,212,2,210
94680100,674874,212,2,212
94680200,674895,213,2,205
94680300,674917,212,2,222
94680400,674938,211,2,220
94680500,674959,212,2,213
94680600,674980,215,2,209
94680700,675002,212,2,220
94680900,675044,210,2,170
94681000,675065,212,2,164
94681100,675086,213,2,162
94681200,675107,212,2,175
94681300,675129,211,2,172
94681400,675150,212,2,170
94681500,675171,212,2,184
94681600,675192,212,2,209
94681700,675213,212,2,196
94681800,675234,212,2,183
94681900,675256,211,2,147
94682000,675277,212,2,130
94682100,675298,212,2,120
94682200,675319,213,2,117
94682300,675340,214,2,128
94682400,675362,213,2,135
94682500,675383,212,2,134
94682600,675404,210,2,152
94682800,675446,214,2,156
94682900,675468,216,2,154
94683000,675489,217,2,163
94683100,675511,211,2,154
94683200,675532,208,2,140
94683300,675553,212,2,132
94683400,675574,213,2,111
94683500,675595,213,2,108
94683600,675617,213,2,132
94683700,675638,214,2,152
94683800,675659,216,2,178
94683900,675681,212,2,195
94684000,675702,213,2,205
94684100,675723,211,2,184
94684200,675744,212,2,167
94684300,675765,214,2,171
94684400,675787,212,2,161
94684500,675808,211,2,175
94684600,675829,214,2,188
94684800,675872,214,2,218
94684900,675893,213,2,197
94685000,675915,215,2,192
94685100,675936,216,2,178
94685200,675958,212,2,200
94685300,675978,207,2,230
94685400,675999,212,2,237
94685500,676021,218,2,253
94685600,676042,210,2,237
94685800,676084,213,2,219
94685900,676106,214,2,192
94686000,676127,214,2,164
94686100,676149,211,2,145
94686200,676170,209,2,141
94686300,676191,213,2,125
94686400,676212,213,2,126
94686500,676233,211,2,133
94686600,676254,210,2,148
94686700,676275,209,2,182
94686800,676296,209,2,181
94686900,676317,211,2,172
94687000,676338,212,2,174
94687100,676360,211,2,165
94687200,676381,209,2,136
94687400,676423,209,2,128
94687500,676444,210,2,121
94687600,676465,213,2,125
94687700,676486,212,2,134
94687900,676528,210,2,140
94688000,676549,210,2,154
94688100,676570,211,2,170
94688200,676592,214,2,183
94688300,676613,213,2,186
94688500,676655,208,2,192
94688600,676676,210,2,154
94688700,676697,211,2,164
94688800,676719,212,2,174
94688900,676740,212,2,173
94689000,676761,211,2,184
94689100,676782,210,2,194
94689200,676803,211,2,203
94689300,676825,211,2,179
94689400,676846,212,2,179
94689500,676867,217,2,178
94689600,676889,215,2,185
94689700,676910,214,2,171
94689900,676954,216,2,151
94690000,676975,210,2,167
94690100,676996,205,2,169
94690200,677017,209,2,166
94690300,677038,213,2,173
94690400,677059,216,2,154
94690500,677081,216,2,139
94690600,677102,209,2,149
94690700,677123,206,2,154
94690800,677144,207,2,172
94690900,677165,210,2,169
94691000,677186,214,2,189
94691100,677207,211,2,172
94691200,677228,212,2,160
94691300,677250,211,2,145
94691500,677292,210,2,132
94691600,677313,211,2,131
94691700,677334,212,2,131
94691800,677355,212,2,132
94691900,677376,208,2,144
94692000,677397,208,2,161
94692100,677418,210,2,178
94692200,677439,211,2,178
94692300,677460,211,2,181
94692500,677502,214,2,171
94692600,677524,215,2,179
94692700,677546,213,2,171
94692800,677567,205,2,187
94692900,677587,207,2,149
94693000,677608,211,2,147
94693100,677630,212,2,148
94693200,677651,210,2,155
94693300,677672,208,2,143
94693400,677693,208,2,147
94693600,677735,210,2,134
94693700,677756,211,2,141
94693800,677778,211,2,158
94693900,677799,210,2,170
94694000,677820,209,2,155
94694100,677841,209,2,161
94694200,677862,209,2,168
94694300,677883,210,2,164
94694400,677904,215,2,169
94694600,677946,212,2,202
94694700,677968,212,2,217
94694800,677989,211,2,197
94694900,678010,210,2,177
94695000,678031,208,2,174
94695100,678052,209,2,194
94695200,678073,210,2,192
94695300,678094,209,2,167
94695400,678115,209,2,153
94695500,678136,210,2,156
94695600,678158,212,2,157
94695700,678179,212,2,142
94695800,678200,209,2,152
94695900,678221,206,2,146
94696000,678241,207,2,138
94696100,678262,209,2,143
94696200,678283,211,2,119
94696300,678304,210,2,129
94696400,678325,209,2,124
94696500,678346,208,2,116
94696600,678367,208,2,103
94696700,678388,209,2,128
94696800,678409,213,2,123
94696900,678431,215,2,124
94697000,678452,213,2,123
94697200,678493,204,2,136
94697300,678514,208,2,142
94697400,678535,214,2,155
94697500,678557,211,2,167
94697600,678578,206,2,153
94697700,678598,205,2,139
94697800,678619,208,2,142
94697900,678640,212,2,146
94698000,678662,215,2,149
94698100,678683,215,2,151
94698300,678725,203,2,159
94698400,678745,206,2,163
94698500,678766,210,2,149
94698600,678787,211,2,147
94698800,678829,212,2,159
94698900,678850,209,2,182
94699000,678871,207,2,170
94699100,678891,207,2,163
94699300,678933,211,2,130
94699400,678954,210,2,142
94699500,678975,209,2,147
94699600,678995,208,2,173
94699700,679016,208,2,164
94699800,679037,209,2,140
94699900,679058,210,2,148
94700000,679079,209,2,161
94700100,679100,209,2,138
94700200,679121,209,1,121
94700400,679162,210,2,149
94700500,679183,210,1,158
94700600,679204,208,2,159
94700700,679225,209,2,151
94700900,679267,211,1,138
94701000,679288,210,1,127
94701100,679309,209,2,124
94701200,679329,209,1,134
94701400,679371,209,1,134
94701500,679392,210,1,160
94701600,679413,210,1,166
94701700,679434,210,2,177
94701800,679455,210,1,165
94701900,679475,209,1,152
94702000,679496,210,1,140
94702100,679517,210,1,110
94702200,679538,209,1,101
94702300,679559,210,1,97
94702500,679601,210,1,103
94702600,679621,209,1,105
94702700,679642,209,1,88
94702800,679663,210,1,74
94703100,679726,210,1,79
94703200,679747,209,1,78
94703300,679767,209,1,80
94703400,679788,210,1,84
94703600,679830,209,1,84
94703700,679851,209,1,90
94703800,679872,209,1,99
94703900,679892,210,1,97
94704100,679934,210,2,122
94704200,679955,209,2,160
94704300,679976,209,1,181
94704400,679997,209,2,200
94704500,680018,210,2,189
94704700,680061,213,2,254
94704800,680082,212,2,215
94704900,680103,213,2,233
94705000,680125,220,2,276
94705200,680168,205,2,400
94705300,680188,204,2,165
94705400,680209,209,2,112
94705500,680230,211,2,107
94705700,680272,209,2,106
94705800,680293,209,2,109
94705900,680314,209,2,110
94706000,680335,210,2,110
94706100,680356,211,2,126
94706300,680398,209,2,126
94706400,680418,209,2,140
94706500,680439,210,2,144
94706600,680460,210,2,137
94706800,680502,209,2,139
94706900,680523,209,2,138
94707000,680544,211,2,146
94707100,680565,213,2,160
94707200,680586,210,2,156
94707400,680628,210,2,139
94707500,680649,210,2,142
94707600,680670,210,2,132
94707700,680692,211,2,130
94707900,680734,210,2,125
94708000,680755,209,2,125
94708100,680776,210,2,121
94708200,680797,210,2,125
94708300,680818,210,2,132
94708400,680840,210,2,136
94708500,680861,210,2,133
94708600,680882,210,2,130
94708700,680903,210,2,131
94708800,680924,210,2,133
94709100,680987,210,2,135
94709200,681008,210,2,132
94709300,681029,210,2,133
94709400,681050,210,2,130
94709800,681134,210,2,124
94709900,681156,210,2,126
94710000,681177,210,2,117
94710100,681198,210,2,102
94710400,681261,210,2,109
94710500,681282,210,2,109
94710600,681303,210,2,117
94710700,681324,210,2,118
94710900,681366,210,2,119
94711000,681387,210,2,118
94711100,681408,210,2,118
94711200,681429,210,2,118
94711300,681450,210,2,117
94711500,681493,210,2,118
94711600,681514,210,2,117
94711700,681535,211,2,118
94711800,681556,211,2,118
94712100,681620,211,2,120
94712200,681641,211,2,120
94712300,681662,211,2,121
94712400,681683,211,2,120
94712600,681726,212,2,121
94712700,681747,211,2,121
94712800,681768,211,2,121
94712900,681789,211,2,122
94713200,681853,211,2,120
94713300,681874,211,2,120
94713400,681895,210,2,120
94713500,681916,210,2,121
94713800,681980,210,2,121
94713900,682001,210,2,123
94714000,682022,210,2,122
94714100,682043,210,2,124
94714300,682085,210,2,128
94714400,682106,210,2,125
94714500,682127,210,2,125
94714600,682148,210,2,124
94714800,682191,210,2,122
94714900,682212,210,2,121
94715000,682233,210,2,121
94715100,682254,210,2,121
94715200,682275,210,2,121
94715400,682317,210,2,119
94715500,682338,210,2,117
94715600,682359,210,2,117
94715700,682380,211,2,119
94715900,682422,210,2,122
94716000,682443,209,2,124
94716100,682464,210,2,126
94716200,682485,210,2,127
94716400,682527,210,2,127
94716500,682548,210,2,126
94716600,682569,210,2,126
